website,title,link
www.geeksforgeeks.org,DSA in JAVA/C++,https://www.geeksforgeeks.org/courses/dsa-self-paced?utm_source=geeksforgeeks&utm_medium=footer&utm_campaign=course/?ref=footer
www.geeksforgeeks.org,Master System Design,https://www.geeksforgeeks.org/courses/mastering-system-design-low-level-to-high-level-solutions?utm_source=geeksforgeeks&utm_medium=footer&utm_campaign=course/?ref=footer
www.geeksforgeeks.org,Master CP,https://www.geeksforgeeks.org/courses/competitive-programming-cp?utm_source=geeksforgeeks&utm_medium=footer&utm_campaign=course
www.geeksforgeeks.org,GeeksforGeeks Videos,https://www.geeksforgeeks.org/videos/?ref=footer
www.geeksforgeeks.org,Geeks Community,https://www.geeksforgeeks.org/community/?ref=footer
www.geeksforgeeks.org,Languages,https://www.geeksforgeeks.org/introduction-to-programming-languages/?ref=footer
www.geeksforgeeks.org,Python,https://www.geeksforgeeks.org/python-programming-language/?ref=footer
www.geeksforgeeks.org,Java,https://www.geeksforgeeks.org/java/?ref=footer
www.geeksforgeeks.org,C++,https://www.geeksforgeeks.org/c-plus-plus/?ref=footer
www.geeksforgeeks.org,PHP,https://www.geeksforgeeks.org/php-tutorials/?ref=footer
www.geeksforgeeks.org,GoLang,https://www.geeksforgeeks.org/golang/?ref=footer
www.geeksforgeeks.org,SQL,https://www.geeksforgeeks.org/sql-tutorial/?ref=footer
www.geeksforgeeks.org,R Language,https://www.geeksforgeeks.org/r-tutorial/?ref=footer
www.geeksforgeeks.org,Android Tutorial,https://www.geeksforgeeks.org/android-tutorial/?ref=footer
www.geeksforgeeks.org,DSA,https://www.geeksforgeeks.org/learn-data-structures-and-algorithms-dsa-tutorial/?ref=footer
www.geeksforgeeks.org,Data Structures,https://www.geeksforgeeks.org/data-structures/?ref=footer
www.geeksforgeeks.org,Algorithms,https://www.geeksforgeeks.org/fundamentals-of-algorithms/?ref=footer
www.geeksforgeeks.org,DSA for Beginners,https://www.geeksforgeeks.org/complete-guide-to-dsa-for-beginners/?ref=footer
www.geeksforgeeks.org,Basic DSA Problems,https://www.geeksforgeeks.org/basic-coding-problems-in-dsa-for-beginners/?ref=footer
www.geeksforgeeks.org,DSA Roadmap,https://www.geeksforgeeks.org/complete-roadmap-to-learn-dsa-from-scratch/?ref=footer
www.geeksforgeeks.org,DSA Interview Questions,https://www.geeksforgeeks.org/top-100-data-structure-and-algorithms-dsa-interview-questions-topic-wise/?ref=footer
www.geeksforgeeks.org,Competitive Programming,https://www.geeksforgeeks.org/competitive-programming-a-complete-guide/?ref=footer
www.geeksforgeeks.org,Data Science & ML,https://www.geeksforgeeks.org/ai-ml-ds/?ref=footer
www.geeksforgeeks.org,Data Science With Python,https://www.geeksforgeeks.org/data-science-tutorial/?ref=footer
www.geeksforgeeks.org,Data Science For Beginner,https://www.geeksforgeeks.org/data-science-for-beginners/?ref=footer
www.geeksforgeeks.org,Machine Learning Tutorial,https://www.geeksforgeeks.org/machine-learning/?ref=footer
www.geeksforgeeks.org,ML Maths,https://www.geeksforgeeks.org/machine-learning-mathematics/?ref=footer
www.geeksforgeeks.org,Data Visualisation Tutorial,https://www.geeksforgeeks.org/python-data-visualization-tutorial/?ref=footer
www.geeksforgeeks.org,Pandas Tutorial,https://www.geeksforgeeks.org/pandas-tutorial/?ref=footer
www.geeksforgeeks.org,NumPy Tutorial,https://www.geeksforgeeks.org/numpy-tutorial/?ref=footer
www.geeksforgeeks.org,NLP Tutorial,https://www.geeksforgeeks.org/natural-language-processing-nlp-tutorial/?ref=footer
www.geeksforgeeks.org,Deep Learning Tutorial,https://www.geeksforgeeks.org/deep-learning-tutorial/?ref=footer
www.geeksforgeeks.org,Web Technologies,https://www.geeksforgeeks.org/web-technology/?ref=footer
www.geeksforgeeks.org,HTML,https://www.geeksforgeeks.org/html/?ref=footer
www.geeksforgeeks.org,CSS,https://www.geeksforgeeks.org/css/?ref=footer
www.geeksforgeeks.org,JavaScript,https://www.geeksforgeeks.org/javascript/?ref=footer
www.geeksforgeeks.org,TypeScript,https://www.geeksforgeeks.org/typescript/?ref=footer
www.geeksforgeeks.org,ReactJS,https://www.geeksforgeeks.org/learn-reactjs/?ref=footer
www.geeksforgeeks.org,NextJS,https://www.geeksforgeeks.org/nextjs/?ref=footer
